id,date,tmax,tmin
7,2021-05-29,13.8500003814697,7.76000022888184
7,2021-05-30,17.7600002288818,4.53999996185303
7,2021-05-31,23.25,6.21000003814697
7,2021-06-01,24.1499996185303,10.1599998474121
8,2020-01-01,8.96000003814697,0.550000011920929
8,2021-12-29,10.1899995803833,5.42000007629395
8,2021-12-30,9.93000030517578,5.6100001335144
8,2021-12-31,17.0499992370605,6.51000022888184
8,2022-01-01,16.0200004577637,8
10,2022-12-30,17.4300003051758,6.42000007629395
10,2022-12-31,12.3699998855591,6.05000019073486
